wave,year,happening,cause_recoded,sci_consensus,worry,harm_personally,harm_US,harm_dev_countries,harm_future_gen,harm_plants_animals,when_harm_US,reg_CO2_pollutant,reg_utilities,fund_research,discuss_GW,gender,age_category,educ_category,income_category,race,party_x_ideo,region4,employment,happening_cont,worry_cont,happening_labels,age_category_labels,educ_category_labels,income_category_labels
1,2008,3,natural and human,dont know,2,0,0,0,0,0,3,3,3,3,2,female,3,2,1,white non hisp,moderate democrate,south,Working –as a paid employee,2.5386080821832286,1.608817886229235,yes,55+,highschool,less 50000
1,2008,3,natural and human,disagreement,3,1,0,0,0,3,3,4,1,1,2,female,3,4,1,white non hisp,conservative republican,south,Not working –retired,2.0438739150597947,2.8107153674311696,yes,55+,bachelor or higher,less 50000
1,2008,3,natural and human,happening,3,3,3,4,4,4,5,4,4,3,2,female,3,2,3,white non hisp,moderate democrate,northeast,Not working –retired,2.4334598594538313,3.175156873501829,yes,55+,highschool,more 100000
1,2008,3,natural and human,happening,3,2,2,2,3,2,4,3,3,3,1,female,3,3,1,white non hisp,moderate democrate,midwest,Not working –retired,3.121595160771236,3.03555508976194,yes,55+,college,less 50000
1,2008,3,human,happening,4,4,4,4,4,4,5,3,2,4,3,male,3,2,1,other non hisp,liberal democrat,south,Working –as a paid employee,3.01745724421367,3.4143132795992672,yes,55+,highschool,less 50000
1,2008,2,natural,disagreement,2,2,2,2,3,3,2,2,2,3,2,female,1,4,3,white non hisp,conservative republican,south,Not working –other,1.652614935681349,2.1389614973570086,dont know,18-34,bachelor or higher,more 100000
1,2008,3,natural and human,disagreement,4,3,3,4,4,4,5,3,3,4,2,male,2,4,3,white non hisp,liberal democrat,midwest,Working –as a paid employee,3.2586715045228685,4.11772589984727,yes,35-54,bachelor or higher,more 100000
1,2008,3,natural and human,dont know,2,3,3,0,0,3,6,4,1,3,1,male,3,2,1,white non hisp,moderate democrate,northeast,Not working –retired,3.9663874423648693,2.33430519838821,yes,55+,highschool,less 50000
1,2008,3,natural and human,happening,4,3,3,3,4,4,6,4,4,4,3,male,2,4,1,white non hisp,liberal democrat,northeast,Working –as a paid employee,3.0997737441775657,4.608132837064241,yes,35-54,bachelor or higher,less 50000
1,2008,3,human,happening,1,1,1,1,1,1,1,4,4,4,1,male,2,3,2,white non hisp,no interest,south,Working –as a paid employee,2.348372884237304,1.7803178043104955,yes,35-54,college,50000-99999
1,2008,3,natural and human,happening,3,3,-1,4,4,4,6,4,3,4,4,female,2,4,3,white non hisp,liberal democrat,west,Working –as a paid employee,3.250775481408665,3.1751581005826295,yes,35-54,bachelor or higher,more 100000
1,2008,1,natural,disagreement,1,1,1,1,1,1,1,1,1,4,1,male,3,2,1,white non hisp,conservative republican,south,Not working –retired,1.3964567116926832,0.40369689251994234,no,55+,highschool,less 50000
1,2008,3,natural,disagreement,2,2,2,2,2,2,2,2,4,4,2,female,2,4,2,white non hisp,conservative republican,midwest,Working –as a paid employee,4.820141868920931,1.6750859674404626,yes,35-54,bachelor or higher,50000-99999
1,2008,3,natural,disagreement,2,2,2,2,2,3,2,3,3,4,2,female,1,2,2,white non hisp,moderate republican,south,Working –as a paid employee,3.20981365917752,2.539490205985993,yes,18-34,highschool,50000-99999
1,2008,3,natural and human,happening,2,1,2,3,3,3,4,4,4,4,2,female,3,4,1,white non hisp,liberal democrat,south,Not working –retired,1.53099091187593,1.8407215183702845,yes,55+,bachelor or higher,less 50000
1,2008,3,natural and human,disagreement,2,3,4,4,4,4,6,4,4,4,2,male,1,4,2,other non hisp,liberal democrat,northeast,Working –as a paid employee,3.4305633362704056,1.942169189702479,yes,18-34,bachelor or higher,50000-99999
1,2008,2,natural,disagreement,3,3,4,4,4,4,6,4,1,4,1,female,3,3,1,white non hisp,independent,west,Not working –retired,0.7556103586488199,2.6331139082227235,dont know,55+,college,less 50000
1,2008,3,natural,dont know,2,2,3,3,3,3,2,1,3,4,3,male,3,3,3,white non hisp,moderate republican,midwest,Not working –retired,3.152601848829802,1.778877739214911,yes,55+,college,more 100000
1,2008,3,natural,happening,2,1,1,1,3,3,2,1,2,3,1,female,1,4,1,white non hisp,conservative republican,south,Working –as a paid employee,3.381271164056399,1.9396559069718795,yes,18-34,bachelor or higher,less 50000
1,2008,3,natural and human,happening,3,3,3,3,4,4,6,3,4,4,3,male,2,4,2,white non hisp,liberal democrat,south,Working –self-employe,2.289207557708066,2.777265673652067,yes,35-54,bachelor or higher,50000-99999
1,2008,3,natural,disagreement,1,1,1,1,-1,1,1,2,1,3,1,male,1,4,2,white non hisp,independent,south,Working –as a paid employee,2.434781234826299,2.2358390456103034,yes,18-34,bachelor or higher,50000-99999
1,2008,3,natural and human,dont know,3,0,4,4,0,0,3,2,4,3,3,female,3,4,1,white non hisp,moderate democrate,midwest,Not working –disabled,3.4097499340083544,2.7211715941981383,yes,55+,bachelor or higher,less 50000
1,2008,3,natural and human,happening,3,2,4,4,4,4,6,3,4,4,4,female,1,4,3,white non hisp,moderate democrate,south,Working –as a paid employee,2.5142185090880655,3.462776240855002,yes,18-34,bachelor or higher,more 100000
1,2008,2,natural,disagreement,3,0,3,3,0,2,1,1,1,3,3,male,2,4,3,white non hisp,conservative republican,south,Working –as a paid employee,2.3558744260777473,3.5482585200204024,dont know,35-54,bachelor or higher,more 100000
1,2008,1,natural,disagreement,1,1,1,1,1,1,1,3,4,4,3,male,1,2,2,hisp,independent,west,Working –as a paid employee,1.5962162320740085,1.6552546713346517,no,18-34,highschool,50000-99999
1,2008,2,natural and human,disagreement,2,0,0,0,0,0,6,-1,-1,-1,2,female,1,2,2,hisp,liberal democrat,west,Working –as a paid employee,2.899083369342753,1.4983670048357833,dont know,18-34,highschool,50000-99999
1,2008,3,human,happening,3,3,3,3,4,4,3,4,4,4,3,male,3,4,2,white non hisp,liberal democrat,south,Working –as a paid employee,2.286589530863369,2.5601886033797663,yes,55+,bachelor or higher,50000-99999
1,2008,3,natural and human,happening,3,3,3,4,4,4,4,3,3,4,3,male,1,4,3,white non hisp,independent,west,Working –as a paid employee,2.9501357861952378,2.9782961133514214,yes,18-34,bachelor or higher,more 100000
1,2008,3,natural and human,happening,3,3,3,4,4,4,4,3,4,4,2,female,1,3,3,white non hisp,liberal democrat,west,Working –as a paid employee,2.5753327141127285,3.2585628666700046,yes,18-34,college,more 100000
1,2008,3,natural and human,disagreement,3,4,4,4,4,4,6,2,2,3,3,female,2,2,2,white non hisp,independent,south,Not working –other,3.069109161041883,3.2332863625573642,yes,35-54,highschool,50000-99999
1,2008,3,natural and human,happening,3,0,0,0,0,0,4,4,3,4,2,male,1,4,2,white non hisp,liberal democrat,south,Working –as a paid employee,3.3800247180020153,2.820290362285764,yes,18-34,bachelor or higher,50000-99999
1,2008,1,not happening,disagreement,1,1,1,1,1,1,1,3,3,4,2,female,2,3,1,white non hisp,moderate republican,south,Not working –looking,1.1894260307535702,1.538423763955457,no,35-54,college,less 50000
1,2008,3,natural and human,happening,4,3,3,4,4,4,4,4,4,4,3,male,2,2,1,other non hisp,liberal democrat,midwest,Working –as a paid employee,2.5439464933874953,3.410387885055339,yes,35-54,highschool,less 50000
1,2008,3,natural and human,disagreement,3,2,3,4,4,4,6,3,4,3,3,female,1,3,2,white non hisp,moderate republican,south,Working –as a paid employee,2.9821807158529223,3.660933716015441,yes,18-34,college,50000-99999
1,2008,1,not happening,happening,1,1,1,1,1,1,1,2,1,3,3,female,2,4,3,white non hisp,conservative republican,south,Not working –other,1.52367578156933,1.5107211982609348,no,35-54,bachelor or higher,more 100000
1,2008,3,natural and human,happening,4,2,3,4,4,4,3,4,4,4,4,male,1,4,1,other non hisp,liberal democrat,south,Working –as a paid employee,3.2814875776703314,4.417057580313558,yes,18-34,bachelor or higher,less 50000
1,2008,3,human,disagreement,3,2,3,3,3,3,6,3,3,4,3,male,2,4,3,white non hisp,liberal democrat,west,Working –as a paid employee,3.0060254404743483,1.9889319942452077,yes,35-54,bachelor or higher,more 100000
1,2008,3,natural and human,disagreement,4,1,1,4,4,4,6,3,3,3,3,female,1,2,2,white non hisp,moderate democrate,west,Not working –disabled,3.0063616278729146,4.906389707756126,yes,18-34,highschool,50000-99999
1,2008,1,natural,happening,1,1,1,1,1,1,1,1,1,3,3,female,1,3,2,white non hisp,conservative republican,west,Working –as a paid employee,2.0715339189993878,0.7885750431866134,no,18-34,college,50000-99999
1,2008,2,natural,disagreement,2,4,4,4,4,4,1,2,4,3,1,female,3,3,3,white non hisp,conservative republican,south,Working –as a paid employee,2.41020560528011,2.4616775905512167,dont know,55+,college,more 100000
1,2008,3,natural and human,happening,3,3,4,4,4,4,5,4,4,4,3,male,3,2,1,white non hisp,liberal democrat,south,Not working –disabled,2.919821365675677,2.998732760035845,yes,55+,highschool,less 50000
1,2008,3,natural,disagreement,2,1,1,1,1,3,2,4,3,4,1,male,3,3,3,white non hisp,conservative republican,south,Working –self-employe,3.0190969557954306,1.3454990077686766,yes,55+,college,more 100000
1,2008,3,natural and human,happening,4,2,3,3,4,4,6,4,4,4,2,female,3,2,1,white non hisp,moderate democrate,south,Not working –retired,2.663488052854856,4.181642131987426,yes,55+,highschool,less 50000
1,2008,1,natural,not happening,1,3,3,3,3,3,1,4,4,4,3,male,3,2,2,white non hisp,conservative republican,south,Not working –retired,0.6963845468197991,0.6509710800221363,no,55+,highschool,50000-99999
1,2008,3,natural and human,happening,3,3,3,3,3,3,6,3,3,3,1,male,2,4,2,white non hisp,liberal democrat,midwest,Working –as a paid employee,2.8404715262672973,2.8216091866702517,yes,35-54,bachelor or higher,50000-99999
1,2008,1,natural,dont know,3,3,3,3,3,3,1,3,3,3,1,male,1,2,2,other non hisp,moderate democrate,northeast,Working –as a paid employee,1.8750844139435605,2.926768110317145,no,18-34,highschool,50000-99999
1,2008,1,not happening,happening,2,1,1,1,1,1,1,3,4,4,2,female,3,2,1,white non hisp,independent,midwest,Not working –retired,0.8309498412243895,1.9429355075356831,no,55+,highschool,less 50000
1,2008,2,natural,disagreement,2,0,0,0,0,0,2,3,2,3,1,female,3,2,2,white non hisp,conservative republican,west,Not working –retired,1.6868969754975118,1.5251100163243574,dont know,55+,highschool,50000-99999
1,2008,3,natural and human,happening,3,3,4,4,4,4,5,3,3,3,3,female,1,4,1,white non hisp,liberal democrat,midwest,Working –as a paid employee,2.4770532138131167,3.2105507418677037,yes,18-34,bachelor or higher,less 50000
1,2008,3,natural,disagreement,2,2,2,3,3,3,2,4,4,4,2,female,1,4,2,other non hisp,conservative republican,west,Not working –other,2.885963509082951,2.3104349061488088,yes,18-34,bachelor or higher,50000-99999
1,2008,3,natural and human,happening,3,2,3,3,4,3,6,-1,4,4,3,female,1,4,3,white non hisp,moderate democrate,south,Not working –other,3.509785819681965,2.7855161048614727,yes,18-34,bachelor or higher,more 100000
1,2008,3,natural and human,disagreement,3,0,0,0,0,0,6,4,4,3,3,male,2,2,1,white non hisp,independent,northeast,Not working –disabled,2.4481422769284684,3.223560430100487,yes,35-54,highschool,less 50000
1,2008,2,natural,happening,2,3,3,3,3,3,2,3,2,3,2,male,1,4,1,black non hisp,liberal democrat,midwest,Not working –looking,1.3554601369672774,2.3860152451400634,dont know,18-34,bachelor or higher,less 50000
1,2008,1,natural,disagreement,1,1,1,1,1,1,1,1,1,3,3,female,3,4,3,white non hisp,conservative republican,south,Not working –other,0.8018803004657378,0.8982737133925631,no,55+,bachelor or higher,more 100000
1,2008,3,natural and human,happening,4,3,3,4,4,4,6,4,4,3,3,male,2,4,1,black non hisp,moderate democrate,south,Working –as a paid employee,2.9431264747868013,4.709029956773414,yes,35-54,bachelor or higher,less 50000
1,2008,3,natural,happening,2,0,0,3,4,4,6,3,1,3,2,female,3,2,1,black non hisp,liberal democrat,south,Not working –retired,3.400612897542546,2.0058607736482417,yes,55+,highschool,less 50000
1,2008,2,natural,disagreement,3,0,0,3,3,3,3,4,4,4,2,male,3,4,2,white non hisp,conservative republican,west,Not working –retired,1.7007618276602843,2.529229367870598,dont know,55+,bachelor or higher,50000-99999
1,2008,3,natural and human,happening,2,2,2,3,3,3,5,3,2,4,2,male,1,2,3,white non hisp,moderate republican,west,Working –as a paid employee,2.8233004034058586,1.6864834216475613,yes,18-34,highschool,more 100000
1,2008,3,natural and human,disagreement,3,2,2,4,3,3,5,3,3,4,3,male,2,4,3,white non hisp,moderate republican,northeast,Not working –looking,2.5350493897222046,3.1963934998056645,yes,35-54,bachelor or higher,more 100000
1,2008,3,natural and human,happening,3,2,3,4,4,4,4,3,2,4,3,male,2,3,1,white non hisp,independent,northeast,Working –as a paid employee,3.1663627099612497,2.6595371818791573,yes,35-54,college,less 50000
1,2008,1,natural,disagreement,2,1,1,3,1,2,1,2,4,3,2,male,1,2,3,white non hisp,liberal democrat,south,Working –as a paid employee,1.5676400654061347,2.366001848391954,no,18-34,highschool,more 100000
1,2008,3,natural and human,happening,3,2,4,4,4,4,5,3,4,4,2,male,3,2,2,white non hisp,moderate democrate,south,Not working –retired,3.5373190142460222,2.8988095511097396,yes,55+,highschool,50000-99999
1,2008,3,natural and human,dont know,3,0,0,0,3,0,6,3,2,3,2,female,2,2,1,white non hisp,independent,west,Working –as a paid employee,3.35303783116135,2.8105076817120502,yes,35-54,highschool,less 50000
1,2008,3,natural and human,disagreement,2,1,2,2,2,2,4,3,4,3,2,male,3,2,1,white non hisp,moderate democrate,south,Not working –retired,3.207094196487337,2.4154393526090123,yes,55+,highschool,less 50000
1,2008,3,natural and human,happening,2,0,0,4,4,4,6,4,4,4,2,female,2,4,2,white non hisp,liberal democrat,south,Working –as a paid employee,4.007483069856994,1.4992052596339165,yes,35-54,bachelor or higher,50000-99999
1,2008,2,natural,dont know,2,1,1,3,3,3,1,-1,-1,-1,2,female,1,4,2,white non hisp,conservative republican,west,Working –as a paid employee,1.8981339581191263,2.9086663336128047,dont know,18-34,bachelor or higher,50000-99999
1,2008,3,natural,disagreement,2,1,1,1,0,0,1,3,2,3,3,female,2,3,3,white non hisp,conservative republican,south,Working –as a paid employee,3.579598495460404,2.5877611630956436,yes,35-54,college,more 100000
1,2008,2,natural and human,happening,3,3,3,3,3,3,3,3,4,4,1,female,2,2,2,white non hisp,moderate republican,west,Working –as a paid employee,2.174814025198809,2.3010368282195452,dont know,35-54,highschool,50000-99999
1,2008,1,natural,disagreement,1,1,1,1,1,1,1,1,1,3,2,female,3,4,2,white non hisp,independent,northeast,Working –as a paid employee,0.7900717913463905,1.2754804471725312,no,55+,bachelor or higher,50000-99999
1,2008,3,dont know,happening,2,0,0,0,0,0,-1,3,2,3,2,male,2,4,3,white non hisp,conservative republican,south,Working –as a paid employee,2.393704384228781,2.25786605022365,yes,35-54,bachelor or higher,more 100000
1,2008,3,natural and human,happening,4,2,4,4,4,4,4,4,-1,4,2,female,2,4,2,hisp,liberal democrat,midwest,Working –as a paid employee,3.6265829321460092,3.5026281541648943,yes,35-54,bachelor or higher,50000-99999
1,2008,1,natural,not happening,1,1,0,0,0,1,1,-1,4,4,2,female,3,1,1,hisp,conservative republican,midwest,Not working –retired,1.2679710127441728,1.388102401818803,no,55+,no highschool,less 50000
1,2008,3,natural and human,happening,3,2,2,4,4,4,2,4,4,4,2,male,1,4,2,white non hisp,liberal democrat,midwest,Working –as a paid employee,2.973989613063951,3.889768233691753,yes,18-34,bachelor or higher,50000-99999
1,2008,3,natural,disagreement,1,1,1,2,1,1,1,1,1,3,1,male,3,4,3,white non hisp,conservative republican,south,Working –as a paid employee,3.265695360842965,0.7114340166314962,yes,55+,bachelor or higher,more 100000
1,2008,3,natural,disagreement,1,1,1,1,1,1,1,1,1,3,3,male,1,3,3,white non hisp,conservative republican,south,Not working –other,2.9331407798387787,1.225299045747547,yes,18-34,college,more 100000
1,2008,3,natural and human,happening,4,4,4,4,4,4,6,3,4,3,3,female,3,4,3,black non hisp,moderate democrate,northeast,Not working –other,3.383981908608126,3.7114397414243916,yes,55+,bachelor or higher,more 100000
1,2008,3,natural and human,disagreement,3,2,2,2,4,3,2,2,4,4,2,male,2,3,2,white non hisp,moderate republican,south,Working –as a paid employee,2.4488279704987086,2.517963443912639,yes,35-54,college,50000-99999
1,2008,3,natural and human,happening,3,3,4,4,4,4,6,3,4,4,3,male,3,4,2,white non hisp,liberal democrat,south,Not working –retired,2.3963883668427903,2.311257625576836,yes,55+,bachelor or higher,50000-99999
1,2008,3,natural,disagreement,2,0,0,0,0,0,3,1,2,4,2,female,1,4,3,white non hisp,moderate republican,midwest,Working –as a paid employee,3.4007314844800196,1.2427910047178812,yes,18-34,bachelor or higher,more 100000
1,2008,3,natural and human,disagreement,4,2,3,4,4,4,6,4,3,4,3,female,3,4,2,white non hisp,moderate democrate,west,Not working –retired,3.0703049424308873,4.17021556947787,yes,55+,bachelor or higher,50000-99999
1,2008,1,natural,not happening,1,1,1,1,1,1,1,3,3,4,1,male,3,2,1,white non hisp,conservative republican,south,Working –self-employe,0.03983722065040596,0.723049420155197,no,55+,highschool,less 50000
1,2008,3,natural,disagreement,3,1,4,3,4,3,3,3,2,4,3,male,3,4,2,white non hisp,conservative republican,midwest,Not working –retired,3.1906374504996053,2.8188827302026285,yes,55+,bachelor or higher,50000-99999
1,2008,3,natural,happening,3,0,0,0,-1,0,5,4,2,3,3,male,2,3,2,other non hisp,independent,south,Working –as a paid employee,3.214038412693726,3.2366881344219323,yes,35-54,college,50000-99999
1,2008,3,natural and human,disagreement,3,2,2,3,2,2,5,3,4,3,3,male,1,2,3,other non hisp,conservative republican,west,Working –as a paid employee,2.7178458568768025,3.150171589588933,yes,18-34,highschool,more 100000
1,2008,2,natural,disagreement,2,1,2,2,2,2,2,3,2,3,1,male,3,4,2,white non hisp,conservative republican,northeast,Not working –retired,1.8650244987849103,1.9470480463673228,dont know,55+,bachelor or higher,50000-99999
1,2008,3,other,dont know,2,0,0,0,0,0,5,3,2,3,2,female,2,2,1,white non hisp,no interest,northeast,Working –as a paid employee,4.060354061201577,1.1943326538624226,yes,35-54,highschool,less 50000
1,2008,3,natural and human,happening,4,3,4,4,4,4,5,4,3,2,3,female,3,2,1,white non hisp,conservative republican,west,Working –self-employe,2.9871261863478,3.274770885903601,yes,55+,highschool,less 50000
1,2008,1,natural,disagreement,2,0,0,0,0,0,2,2,3,3,2,female,3,3,1,white non hisp,conservative republican,west,Working –as a paid employee,1.5245956133324587,3.029780281319534,no,55+,college,less 50000
1,2008,3,natural and human,disagreement,4,0,0,0,4,4,6,4,3,4,3,female,2,2,3,white non hisp,moderate democrate,west,Working –as a paid employee,2.211809411058443,3.708038303563225,yes,35-54,highschool,more 100000
1,2008,3,natural and human,happening,3,3,4,4,4,4,6,4,3,4,3,female,3,3,1,white non hisp,moderate republican,northeast,Not working –disabled,3.1664069411408184,3.688951505313549,yes,55+,college,less 50000
1,2008,1,natural,disagreement,1,2,2,2,2,2,1,3,3,2,3,female,3,4,3,white non hisp,conservative republican,south,Not working –retired,0.5643781770708816,0.6799132773818655,no,55+,bachelor or higher,more 100000
1,2008,3,natural and human,dont know,3,2,4,0,4,4,4,2,2,4,2,female,2,3,1,white non hisp,no interest,northeast,Not working –looking,2.9098296852560694,2.647049259264695,yes,35-54,college,less 50000
1,2008,3,natural and human,happening,4,4,4,4,4,4,3,4,4,4,3,male,2,3,1,white non hisp,liberal democrat,northeast,Not working –disabled,2.9634938471872734,3.6179652794571457,yes,35-54,college,less 50000
1,2008,3,natural,disagreement,1,1,1,1,1,1,1,3,3,3,3,female,1,3,1,white non hisp,no interest,west,Working –as a paid employee,2.912139949257703,1.4404511039693582,yes,18-34,college,less 50000
1,2008,3,natural and human,happening,4,3,3,4,4,4,6,3,4,4,3,male,2,4,3,white non hisp,liberal democrat,south,Working –self-employe,3.3915700294036046,3.9401566961324406,yes,35-54,bachelor or higher,more 100000
1,2008,1,natural,disagreement,2,1,1,1,1,1,1,3,3,3,3,female,3,2,1,white non hisp,moderate democrate,south,Not working –disabled,1.1431037737650969,1.7265282075459298,no,55+,highschool,less 50000
1,2008,2,natural and human,happening,3,3,3,3,4,4,5,3,4,4,2,female,3,1,1,white non hisp,moderate democrate,midwest,Not working –retired,2.2014435421868717,2.710013128231612,dont know,55+,no highschool,less 50000
1,2008,3,natural and human,happening,3,3,3,3,3,3,5,3,3,3,2,female,1,4,2,white non hisp,moderate democrate,south,Working –as a paid employee,2.7915391329399664,2.570901051008265,yes,18-34,bachelor or higher,50000-99999
1,2008,3,natural,dont know,3,0,0,0,0,0,5,3,3,3,3,female,3,4,1,white non hisp,refused,northeast,Not working –retired,2.5927588549959966,3.3161293912001706,yes,55+,bachelor or higher,less 50000
1,2008,3,natural and human,happening,3,3,4,4,4,4,5,3,3,4,2,male,3,3,3,white non hisp,conservative republican,south,Not working –retired,3.2644804900901168,3.6098605213679873,yes,55+,college,more 100000
1,2008,1,natural,disagreement,1,1,1,1,1,2,2,2,2,3,2,male,2,4,1,white non hisp,conservative republican,south,Working –as a paid employee,0.6973714357357332,0.708355794034963,no,35-54,bachelor or higher,less 50000
1,2008,3,natural and human,disagreement,3,3,3,3,3,3,6,3,3,3,1,male,3,2,1,black non hisp,moderate democrate,midwest,Not working –retired,3.509542736110797,2.812798728767661,yes,55+,highschool,less 50000
1,2008,2,natural,disagreement,2,1,1,2,2,2,1,3,1,4,3,male,1,3,2,white non hisp,moderate republican,midwest,Working –self-employe,1.6318889296855459,3.225392112057009,dont know,18-34,college,50000-99999
1,2008,3,natural,disagreement,3,2,2,2,2,2,2,3,3,4,1,female,2,3,3,white non hisp,moderate republican,northeast,Working –as a paid employee,2.9400203816152546,2.8072466662324964,yes,35-54,college,more 100000
1,2008,3,natural and human,dont know,3,0,3,0,3,4,4,4,2,4,3,male,2,1,1,white non hisp,no interest,northeast,Not working –disabled,3.6178521004328394,2.803830401583017,yes,35-54,no highschool,less 50000
1,2008,3,natural,dont know,2,0,0,0,0,0,1,3,1,3,1,female,3,3,1,white non hisp,independent,midwest,Working –as a paid employee,2.8660297999959123,2.437798560443338,yes,55+,college,less 50000
1,2008,3,natural and human,happening,3,2,2,2,2,2,4,3,2,2,2,female,1,2,2,hisp,liberal democrat,northeast,Not working –looking,2.4815147202113486,3.2861578605957424,yes,18-34,highschool,50000-99999
1,2008,3,natural and human,happening,3,1,3,3,4,4,3,4,4,4,2,male,3,4,2,white non hisp,liberal democrat,south,Working –as a paid employee,3.400174923457821,2.9284328698048228,yes,55+,bachelor or higher,50000-99999
1,2008,3,natural,happening,2,2,2,3,2,2,3,2,2,4,2,male,3,4,3,white non hisp,moderate republican,west,Working –as a paid employee,3.6905050837138624,2.2367337573930572,yes,55+,bachelor or higher,more 100000
1,2008,3,natural and human,happening,4,3,4,4,4,4,6,4,3,4,3,female,2,3,2,white non hisp,liberal democrat,south,Working –as a paid employee,4.718288213604181,4.083057556945597,yes,35-54,college,50000-99999
1,2008,3,natural and human,disagreement,3,1,1,1,1,1,6,1,-1,-1,4,male,1,3,1,other non hisp,independent,northeast,Working –as a paid employee,2.7154371689773575,2.622092803497021,yes,18-34,college,less 50000
1,2008,3,natural and human,disagreement,3,2,3,3,4,4,5,3,3,3,2,female,3,1,3,white non hisp,independent,northeast,Not working –retired,3.453367269157428,2.502881439570792,yes,55+,no highschool,more 100000
1,2008,3,natural,happening,3,2,3,3,4,3,4,3,3,2,1,female,1,2,1,white non hisp,no interest,midwest,Not working –other,3.4726863792139837,2.303954627869265,yes,18-34,highschool,less 50000
1,2008,3,human,happening,3,0,3,3,3,3,4,4,4,4,3,male,1,3,2,white non hisp,moderate democrate,midwest,Not working –looking,3.5918618452489786,3.4737325866982527,yes,18-34,college,50000-99999
1,2008,3,natural and human,happening,3,2,3,4,4,4,6,4,4,3,4,female,3,4,2,white non hisp,moderate democrate,midwest,Working –as a paid employee,3.209749062211345,2.36623556739276,yes,55+,bachelor or higher,50000-99999
1,2008,3,natural and human,happening,2,2,3,4,4,3,3,3,3,4,1,male,2,4,3,other non hisp,liberal democrat,west,Working –as a paid employee,3.012621487931314,1.2073217502082483,yes,35-54,bachelor or higher,more 100000
1,2008,1,natural,disagreement,2,1,2,2,2,2,1,3,2,3,2,male,3,4,3,white non hisp,moderate republican,south,Not working –retired,1.314864680083279,1.8059790141289542,no,55+,bachelor or higher,more 100000
1,2008,1,natural,disagreement,2,1,2,2,0,2,2,3,1,4,1,male,3,3,2,white non hisp,conservative republican,west,Not working –retired,0.9412972388933809,2.0714196530028293,no,55+,college,50000-99999
1,2008,3,natural and human,happening,4,4,4,4,4,4,4,4,3,-1,4,male,1,4,2,white non hisp,moderate democrate,west,Working –as a paid employee,2.908534120772828,4.870527979472652,yes,18-34,bachelor or higher,50000-99999
1,2008,3,natural and human,disagreement,3,2,3,4,4,4,2,3,2,1,2,male,2,2,2,other non hisp,conservative republican,west,Working –as a paid employee,3.4444359210001902,2.284701175081982,yes,35-54,highschool,50000-99999
1,2008,1,natural,not happening,1,1,1,1,1,1,1,1,3,3,1,male,2,2,3,white non hisp,moderate republican,west,Working –as a paid employee,0.7132812955560912,1.3416593519342601,no,35-54,highschool,more 100000
1,2008,3,natural and human,happening,3,2,3,3,4,4,6,4,3,4,2,female,1,3,1,other non hisp,moderate republican,west,Working –as a paid employee,3.0759108319010893,2.6291375897546856,yes,18-34,college,less 50000
